German,English
chffffff ,chffffff
alex ,Alex
steckt ,plugged
jedenfalls ,in any case
schreit ,screams
tolle ,amazing
rüber ,over
tschüss ,bye
nennt ,names
raum ,space
heiß ,hot
foto ,photo
kalt ,cold
paul ,paul
irgendetwas ,anything
weile ,while
bisher ,until now
minute ,minute
unbedingt ,necessarily
zug ,train
sekunden ,seconds
wofür ,for what
erzähl ,tell
nen ,nen
beweise ,proofs
nahm ,took
aller ,all
freut ,is happy
seele ,soul
schießen ,shoot
müde ,weary
dauert ,take
magst ,like
harry ,harry
brief ,letter
gelernt ,learned
sucht ,seeks
bekannt ,famous
weitere ,Further
unfall ,accident
dahin ,then
kontrolle ,control
beispiel ,example
lady ,lady
dasselbe ,the same thing
herzen ,heart
schlagen ,beat
wütend ,furious
weise ,way
damen ,Ladies
darin ,in this
gottes ,god
holt ,get
fehlt ,is missing
vorsicht ,caution
heiße ,name is
beweisen ,to prove
gehabt ,had
zumindest ,at least
vermisst ,missing
hübsch ,pretty
kriegt ,gets
verbindung ,connection
tief ,deep
richtung ,direction
lage ,location
sowieso ,anyway
kraft ,power
normal ,normal
lauf ,run
ehre ,honor
stell ,Vice
geschenk ,gift
bar ,bar
tasche ,pocket
gelesen ,had read
gekauft ,bought
wussten ,knew
gestohlen ,stolen
hunger ,hunger
leg ,leg
lügen ,lying
beziehung ,relationship
ben ,ben
verschwunden ,disappeared
steh ,stand
nächstes ,next
gearbeitet ,worked
preis ,price
witz ,joke
meinte ,said
liste ,list
geist ,ghost
neben ,Next
gesucht ,searched
firma ,company
süße ,sweetness
rücken ,the back
schrecklich ,terrible
letzter ,last
verliebt ,in love
öffnen ,to open
redet ,talks
boot ,boat
seltsam ,strange
versteckt ,hidden
fürchte ,fear
verschwinde ,disappear
erwischt ,Caught
verkauft ,sold
tante ,aunt
erwarten ,expect
pferd ,horse
wunder ,wonder
sauer ,angry
vermutlich ,allegedly
näher ,closer
major ,major
jung ,young
majestät ,majesty
aussehen ,to look like
ans ,ans
de ,de
and ,and
links ,Left
großes ,great
welches ,which
beschützen ,to protect
geboren ,born
erreichen ,to achieve
punkt ,Point
kindern ,children
kirche ,church
verraten ,betray
selber ,myself
befehl ,command
colonel ,colonel
fährt ,moves
zieht ,attracts
geburtstag ,date of birth
haut ,skin
wette ,bet
reich ,rich
sekunde ,second
fahre ,ride
schwöre ,swear
geredet ,spake
james ,james
madame ,madame
eigene ,own
zeiten ,times
traurig ,Sad
anruf ,phone call
nachrichten ,news
frieden ,peace
karte ,map
güte ,quality
euren ,your
diesmal ,this time
schade ,what a shame
persönlich ,personal
kriege ,wars
stirbt ,dies
bleibe ,stay
verändert ,changes
sonne ,Sun
lieb ,Dear
nämlich ,namely
letztes ,last
bekam ,got
ruft ,calls
professor ,professor
gericht ,dish
nase ,nose
ewig ,forever
singen ,to sing
bank ,Bank
beschäftigt ,occupied
computer ,computer
yeah ,yeah
toten ,kill
weihnachten ,Christmas
offensichtlich ,obviously
naja ,Oh well
henry ,henry
gefühle ,emotions
fuß ,foot
show ,show
überraschung ,surprise
geheimnis ,secret
fbi ,fbi
kontakt ,Contact
gold ,gold
drogen ,drugs
regierung ,government
wein ,wine
kriegst ,get
ermordet ,murdered
fotos ,photos
entfernt ,removed
geschlafen ,slept
manche ,some
erledigen ,complete
ran ,ran
gegenüber ,opposite to
schlaf ,sleep
lust ,desire
wunderschön ,very beautiful
witzig ,funny
nick ,nick
zerstört ,destroyed
übrigens ,by the way
willen ,sake
heim ,home
richtigen ,right
deines ,yours
namens ,called
zeigt ,indicates
geliebt ,loved
gehören ,belong
brachte ,brought
herrn ,Mr
blick ,view
besuch ,visit
schlechte ,bad
bewegen ,move
haare ,hair
antworten ,reply
präsident ,president
sagtest ,told
hoffnung ,hope
stecken ,put
lebe ,live
rechts ,right
interessant ,Interesting
entscheiden ,decide
miteinander ,together
meint ,means
liebst ,love
indem ,by doing
bleibst ,stay
kümmere ,take care
wohnen ,reside
weder ,neither
möglichkeit ,opportunity
kaputt ,broken
bekomme ,get
flugzeug ,plane
vergangenheit ,past
anderer ,another
zweite ,second
armee ,army
jim ,jim
tee ,tea
entweder ,either
weiss ,White
don ,Don
detective ,detective
aufhalten ,stop
stellt ,provides
verspreche ,promise
überrascht ,surprised
sauber ,clean
hau ,hau
mark ,mark
schlag ,blow
sheriff ,sheriff
untertitel ,subtitle
setzt ,puts
frag ,question
vaters ,father
nervös ,nervous
gesellschaft ,company
verstecken ,hide
schuldig ,guilty
hals ,neck
schützen ,protect
besuchen ,to visit
of ,of
passen ,fit
überleben ,to survive
erhalten ,Receive
teilen ,share
gebäude ,building
schicksal ,fate
zeichen ,character
richter ,judge
besorgt ,concerned
küche ,kitchen
lief ,ran
vergnügen ,pleasure
wüsste ,know
volk ,people
lhr ,LHR
herausfinden ,find out
königin ,queen
soldaten ,soldiers
feiern ,to celebrate
situation ,situation
lag ,was
gelassen ,calmly
allerdings ,Indeed
soweit ,so far
gefahren ,hazards
verstand ,understanding
bord ,shelf
schönes ,beautiful
jimmy ,Jimmy
billy ,billy
angefangen ,begun
lee ,lee
fühlst ,feel
bob ,bob
mussten ,had
rat ,advice
worauf ,whereupon
gebeten ,asked
tony ,tony
kamera ,camera
achtung ,Attention
lieutenant ,lieutenant
ganzes ,whole
schuhe ,Shoes
sarah ,sarah
glückwunsch ,congratulation
niemandem ,no one
gibst ,give
statt ,instead of
übernehmen ,take
gegend ,area
wald ,Forest
al ,al
la ,la
nimmst ,take
danny ,danny
erkennen ,detect
glas ,glass
falsche ,false
verantwortlich ,responsible
jesus ,Jesus
stöhnt ,moans
herein ,in
kleid ,dress
zerstören ,to destroy
jawohl ,Yes
london ,London
gegessen ,eaten
abendessen ,dinner
gesetz ,law
gemeinsam ,together
geholfen ,helped
erster ,first
wohnt ,lives
schritt ,step
guck ,peep
nahe ,vicinity
aussieht ,looks
beginnen ,kick off
dachten ,thought
band ,tape
ungefähr ,approximately
aufgabe ,task
neun ,nine
furchtbar ,terrible
drinnen ,indoors
zuvor ,before
charles ,charles
freue ,am happy
amerika ,America
übrig ,left over
spur ,track
falschen ,false
sergeant ,sergeant
melden ,Report
helfe ,help
werfen ,throw
bill ,bill
haltet ,think
erinnert ,remind
hängt ,hangs
freude ,pleasure
ehemann ,husband
erschossen ,shot
verzeihen ,pardon
schwein ,pig
uh ,uh
monster ,monster
entschieden ,decided
mission ,mission
verdammten ,damned
brauch ,custom
gewusst ,knew
vorne ,in front
stopp ,stop
übel ,bad
schlampe ,slut
schöner ,more beautiful
adresse ,address
unsinn ,nonsense
messer ,knife
gesund ,healthy
respekt ,respect
pro ,Per
leisten ,Afford
davor ,before
richard ,Richard
bedeuten ,mean
ball ,ball
mitnehmen ,take along
gespielt ,played
to ,to
schwierigkeiten ,difficulties
hälfte ,half
kannte ,knew
stehe ,am
maria ,Maria
planeten ,planet
schwanger ,pregnant
gruppe ,group
anna ,Ann
verhaftet ,arrested
deal ,deal
seines ,his
irgendwelche ,any
händen ,hands
versteht ,understood
drehen ,rotate
eis ,ice cream
danken ,to thank
erfolg ,success
zufrieden ,satisfied
schließen ,shut down
besorgen ,obtain
wochenende ,weekend
worüber ,about what
stimmen ,voices
nehmt ,take
martin ,martin
m ,m
witze ,joking
beine ,legs
verbrechen ,crime
bericht ,report
nachts ,at night
eurer ,yours
prinzessin ,princess
schmerz ,pain
klingelt ,rings
position ,position
echte ,real
gleichen ,equal
fernsehen ,watch TV
wünsche ,wishes
schließlich ,after all
gefangen ,caught
schätzchen ,baby
seh ,see
schwierig ,difficult
angebot ,Services
nah ,close
jane ,jane
gewartet ,waited
kümmert ,takes care
ring ,ring
rennen ,run
lied ,song
eier ,eggs
welchen ,which
sorry ,sorry
fantastisch ,fantastic
schaut ,looks
hielt ,held
falle ,cases
drink ,drink
insel ,Island
dauern ,last
daher ,therefore
zufällig ,coincidentally
dorf ,village
clark ,clark
bewegt ,emotional
mitten ,in the middle
bullen ,cops
feind ,enemy
einverstanden ,I Agree
neuer ,news
bauen ,to build
trägt ,wearing
hängen ,hang
freunden ,friends
deren ,whose
halb ,half
verpasst ,lost
sprach ,spoke
leise ,quiet
armen ,poor
wusstest ,knew
fanden ,found
unternehmen ,company
träume ,dreams
schläft ,is sleeping
kostet ,costs
spiele ,games
unseres ,our
entlang ,along
johnny ,johnny
versprechen ,promise
tiere ,animals
freiheit ,freedom
verdienen ,to earn
aha ,Aha
unterhalten ,to chat
eingeladen ,invited
schaden ,damage
genannt ,called
beenden ,break up
ray ,ray
geändert ,changed
thomas ,Thomas
lächerlich ,ridiculous
geschlagen ,beaten
park ,park
schätzen ,treasure
männern ,men
t ,t
beginnt ,starts
ehren ,to honor
größte ,greatest
energie ,energy
fleisch ,flesh
besonderes ,special
besteht ,consists
reichen ,are sufficient
robert ,Robert
zeitung ,newspaper
worum ,about what
nachgedacht ,thought
betrunken ,drunk
sowas ,like this
patienten ,patient
gespräch ,conversation
leiden ,To suffer
taxi ,taxi
tötet ,killing
see ,lake
unterschied ,difference
wind ,wind
singt ,sings
schreien ,scream
daniel ,Daniel
sahen ,saw
wand ,Wall
bus ,bus
lhre ,Their
angriff ,attack
verhalten ,behave
loch ,hole
interesse ,interest
treten ,to step
quatsch ,rubbish
trifft ,meets
polizist ,police officer
blumen ,flower
neuigkeiten ,news
bringst ,bring
flasche ,bottle
rief ,cried
schuss ,shot
fassen ,grasp
meer ,sea
konntest ,could
schafft ,creates
maschine ,machine
spreche ,speak
bein ,leg
eddie ,eddie
bekommst ,get
verbringen ,spend
bücher ,Books
blöd ,stupid
frühstück ,breakfast
tommy ,tommy
meter ,meter
bilder ,pictures
aufpassen ,watch out
claire ,claire
dessen ,whose
muß ,got to
freuen ,be happy
engel ,Angel
offenbar ,apparently
gelegenheit ,opportunity
fang ,fishing
lüge ,lie
ohren ,ears
au ,au
angetan ,done
beeil ,hurry
brechen ,break
brüder ,brothers
zeitpunkt ,time
keinem ,any
ecke ,corner
brücke ,bridge
druck ,print
mitgebracht ,brought
seufzt ,sighs
date ,date
haufen ,heap
oma ,granny
auftrag ,assignment
leer ,empty
entkommen ,escape
bobby ,Bobby
weißen ,white
lösung ,solution
wart ,serviceable
pause ,Break
irre ,crazy
gestellt ,placed
keller ,"basement, cellar"
gebrochen ,Broken
weinen ,cry
nutzen ,to use
wünschen ,wish
fragt ,asks
maul ,mouth
verantwortung ,responsibility
schloss ,Castle
hut ,cap
lächeln ,smile
ryan ,ryan
red ,red
grad ,Degree
zweiten ,second
hinaus ,out
mitkommen ,come along
vorhin ,earlier
fahrt ,trip
gemeint ,meant
ernsthaft ,seriously
gebaut ,built
bombe ,bomb
hasst ,hates
versteh ,understand
kosten ,costs
zeige ,show
traf ,hit
eigenes ,own
haar ,hair
fragte ,asked
jason ,jason
operation ,surgery
befehle ,commands
schmerzen ,pains
erklärt ,explained
steve ,steve
dach ,roof
folge ,consequence
gelaufen ,ran
schwarze ,black
dankbar ,thankful
gehirn ,brain
töte ,kill
mädels ,girls
mut ,courage
heilige ,saint
laura ,laura
tier ,animal
system ,system
mannes ,man
wahnsinn ,craziness
nee ,nope
rose ,rose
club ,club
geschlossen ,closed
hintern ,butt
is ,is
thema ,topic
fiel ,fell
gehalten ,held
dorthin ,there
urlaub ,vacation
steig ,sidewalk
vorwärts ,forward
überprüfen ,check over
besseres ,better
beweis ,proof
baum ,tree
gebt ,give
funktionieren ,function
anscheinend ,apparently
lehrer ,teacher
hoffen ,hope
bessere ,better
isst ,eats
nachmittag ,afternoon
nem ,nEM
risiko ,risk
chuck ,chuck
knast ,slammer
entschuldigt ,apologizes
gilt ,is applicable
held ,hero
daraus ,from that
erstes ,first
fräulein ,young lady
rachel ,rachel
prima ,great
brauchte ,needed
gewalt ,violence
dean ,dean
liebes ,Dear
schaffst ,manage
nachdenken ,think
tor ,gate
erfahrung ,experience
pläne ,plans
jagen ,to hunt
katze ,cat
runde ,round
deutsche ,German
schwanz ,tail
taten ,doings
lord ,lord
dringend ,urgently
commander ,commander
großvater ,grandfather
sommer ,summer
gezeigt ,shown
hinterlassen ,leave behind
gewissen ,conscience
getrunken ,drunk
wahre ,real
luke ,hatch
kunden ,customers
kate ,cottage
zeugen ,testify
geplant ,planned
amanda ,amanda
erreicht ,achieved
stören ,to disturb
stein ,stone
atmen ,to breathe
hose ,trousers
weiße ,white
sprichst ,speak
größer ,greater
schickt ,sends
city ,City
prinz ,prince
behandelt ,treated
tote ,dead
überlegen ,think
karten ,cards
it ,it
d ,d
restaurant ,restaurant
welchem ,wherein
roger ,roger
natur ,nature
carter ,carter
emily ,Emily
mami ,mommy
verschwindet ,disappears
lautet ,reads
streit ,fight
küssen ,kiss
sprich ,speak
längst ,a long time ago
fängt ,catches
drüber ,about it
gingen ,went
erlaubt ,permitted
einzigen ,single
bad ,bath
schmeckt ,tastes
kugel ,bullet
normalerweise ,normally
schwarzen ,black
rauf ,up
flug ,flight
beruhigen ,calm
walter ,walter
halbe ,half
dan ,Dan
geschieht ,happens
einiges ,some
entdeckt ,discovered
morgens ,In the morning
schlechter ,worse
vollkommen ,completely
gelogen ,lied
verfolgt ,tracked
college ,college
weiteren ,more
chris ,chris
louis ,louis
eh ,eh
schwert ,sword
hunde ,dogs
steigen ,rise
verdammter ,fucking
dürfte ,might
riecht ,smells
labor ,laboratory
bat ,asked
tim ,Tim
arthur ,arthur
mindestens ,at least
fisch ,fish
eurem ,your
füße ,feet
stehst ,standing
erschießen ,shoot dead
kuchen ,cakes
versuchte ,tried
zustand ,State
wunsch ,wish
gäste ,Guests
erwähnt ,mentioned
farbe ,colour
van ,van
einigen ,some
zufall ,coincidence
garten ,garden
junger ,younger
autos ,cars
abgesehen ,apart
fair ,fair
vertraut ,trusted
koffer ,suitcase
hieß ,was called
kurs ,course
wirkt ,acts
idioten ,idiot
netter ,nice
seitdem ,since
angegriffen ,attacked
geschichten ,stories
wahnsinnig ,insane
ähnlich ,similar
lily ,lily
aufgeben ,to give up
england ,England
entführt ,kidnapped
ms. ,ms.
mistkerl ,dirty swine
solchen ,such a
ner ,ner
geschossen ,shot
lager ,warehouse
besprechen ,discuss
reihe ,row
polizisten ,police officers
vogel ,bird
legt ,puts
strand ,Beach
amerikaner ,American
schwarz ,black
fern ,remote
fick ,fuck
scherz ,joke
san ,san
erzählte ,told
wichser ,wanker
jake ,jake
langweilig ,boring
womit ,by which
geschäfte ,businesses
my ,my
kapiert ,Got it
nachher ,later
verlangt ,requires
schlägt ,beats
überzeugt ,convinced
irgendjemand ,anyone
rot ,Red
soldat ,soldier
vorbereitet ,prepared
geschah ,happened
reisen ,to travel
termin ,meeting
gang ,corridor
stehlen ,steal
rechte ,right
rache ,revenge
bemerkt ,noticed
frankreich ,France
stört ,disturbs
radio ,radio
beruhige ,calm down
pferde ,horses
vertrag ,contract
arbeitest ,work
dienst ,service
zählt ,counts
fragst ,ask
wesen ,being
bürgermeister ,Mayor
emma ,emma
fluss ,flow
woran ,by which
geblieben ,remained
durcheinander ,mixed up
me ,me
ted ,ted
nette ,nice
test ,test
mister ,mister
dadurch ,through this
direktor ,director
wichtiger ,more important
kevin ,Kevin
scott ,scott
karriere ,Career
akte ,file
erinnerung ,memory
großmutter ,grandmother
erzähle ,tell
lösen ,to solve
bravo ,Bravo
griff ,Handle
verfolgen ,follow
zweifel ,doubt
such ,search
sprache ,language
nerven ,annoy
officer ,officer
andy ,andy
langer ,longer
ziehe ,pull
entlassen ,fire
zweimal ,twice
abholen ,pick up
washington ,Washington
kollegen ,colleagues
doc ,doc
fass ,barrel
szene ,scene
robin ,robin
scheinen ,seem to be
bösen ,bad
schaffe ,create
pflicht ,mandatory
wache ,guard
neulich ,recently